
				Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
				Mathematics  Mr A Patel  40,13/10/2022,1:40:00 PM  ,13/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,13/10/2022,2:30:00 PM  ,13/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 1,14/10/2022,,14/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Public Speaking and Sound Design  Ms O C Hopkins  D1,14/10/2022,8:35:00 AM  ,14/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,14/10/2022,9:25:00 AM  ,14/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,14/10/2022,11:10:00 AM ,14/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,14/10/2022,12:00:00 PM ,14/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,14/10/2022,1:40:00 PM  ,14/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,14/10/2022,2:30:00 PM  ,14/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 2,17/10/2022,,17/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Coding & Algorithms  Mr D J Brosche  16,17/10/2022,8:35:00 AM  ,17/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,17/10/2022,9:25:00 AM  ,17/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,17/10/2022,11:10:00 AM ,17/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,17/10/2022,12:00:00 PM ,17/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,17/10/2022,1:40:00 PM  ,17/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC4,17/10/2022,2:30:00 PM  ,17/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 3,18/10/2022,,18/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Chemistry  Ms J A Scarff  S2.03,18/10/2022,8:35:00 AM  ,18/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,18/10/2022,9:25:00 AM  ,18/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,18/10/2022,11:10:00 AM ,18/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,18/10/2022,12:00:00 PM ,18/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,18/10/2022,1:40:00 PM  ,18/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,18/10/2022,2:30:00 PM  ,18/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 4,19/10/2022,,19/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Italian  Mrs K L Irwin  L3.03,19/10/2022,8:35:00 AM  ,19/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,19/10/2022,9:25:00 AM  ,19/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,19/10/2022,11:10:00 AM ,19/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,19/10/2022,12:00:00 PM ,19/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,19/10/2022,1:40:00 PM  ,19/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D3,19/10/2022,2:30:00 PM  ,19/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 5,20/10/2022,,20/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Mathematics  Mr A Patel  40,20/10/2022,8:35:00 AM  ,20/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,20/10/2022,9:25:00 AM  ,20/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,20/10/2022,11:10:00 AM ,20/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,20/10/2022,12:00:00 PM ,20/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC3,20/10/2022,1:40:00 PM  ,20/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,20/10/2022,2:30:00 PM  ,20/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 6,21/10/2022,,21/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					English  Mr P C M Huybers  S1.04W,21/10/2022,8:35:00 AM  ,21/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,21/10/2022,9:25:00 AM  ,21/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  21,21/10/2022,11:10:00 AM ,21/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,21/10/2022,12:00:00 PM ,21/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,21/10/2022,1:40:00 PM  ,21/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,21/10/2022,2:30:00 PM  ,21/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 1,24/10/2022,,24/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Public Speaking and Sound Design  Ms O C Hopkins  D1,24/10/2022,8:35:00 AM  ,24/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,24/10/2022,9:25:00 AM  ,24/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,24/10/2022,11:10:00 AM ,24/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,24/10/2022,12:00:00 PM ,24/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,24/10/2022,1:40:00 PM  ,24/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,24/10/2022,2:30:00 PM  ,24/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 2,25/10/2022,,25/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Coding & Algorithms  Mr D J Brosche  16,25/10/2022,8:35:00 AM  ,25/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,25/10/2022,9:25:00 AM  ,25/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,25/10/2022,11:10:00 AM ,25/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,25/10/2022,12:00:00 PM ,25/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,25/10/2022,1:40:00 PM  ,25/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC4,25/10/2022,2:30:00 PM  ,25/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 3,26/10/2022,,26/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Chemistry  Ms J A Scarff  S2.03,26/10/2022,8:35:00 AM  ,26/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,26/10/2022,9:25:00 AM  ,26/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,26/10/2022,11:10:00 AM ,26/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,26/10/2022,12:00:00 PM ,26/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,26/10/2022,1:40:00 PM  ,26/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,26/10/2022,2:30:00 PM  ,26/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 4,27/10/2022,,27/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Italian  Mrs K L Irwin  L3.03,27/10/2022,8:35:00 AM  ,27/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,27/10/2022,9:25:00 AM  ,27/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,27/10/2022,11:10:00 AM ,27/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,27/10/2022,12:00:00 PM ,27/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,27/10/2022,1:40:00 PM  ,27/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D3,27/10/2022,2:30:00 PM  ,27/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 5,28/10/2022,,28/10/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Mathematics  Mr A Patel  40,28/10/2022,8:35:00 AM  ,28/10/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,28/10/2022,9:25:00 AM  ,28/10/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,28/10/2022,11:10:00 AM ,28/10/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,28/10/2022,12:00:00 PM ,28/10/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC3,28/10/2022,1:40:00 PM  ,28/10/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,28/10/2022,2:30:00 PM  ,28/10/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 6,02/11/2022,,02/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					English  Mr P C M Huybers  S1.04W,02/11/2022,8:35:00 AM  ,02/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,02/11/2022,9:25:00 AM  ,02/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  21,02/11/2022,11:10:00 AM ,02/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,02/11/2022,12:00:00 PM ,02/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,02/11/2022,1:40:00 PM  ,02/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,02/11/2022,2:30:00 PM  ,02/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 1,03/11/2022,,03/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Public Speaking and Sound Design  Ms O C Hopkins  D1,03/11/2022,8:35:00 AM  ,03/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,03/11/2022,9:25:00 AM  ,03/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,03/11/2022,11:10:00 AM ,03/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,03/11/2022,12:00:00 PM ,03/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,03/11/2022,1:40:00 PM  ,03/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,03/11/2022,2:30:00 PM  ,03/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 2,04/11/2022,,04/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Coding & Algorithms  Mr D J Brosche  16,04/11/2022,8:35:00 AM  ,04/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,04/11/2022,9:25:00 AM  ,04/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,04/11/2022,11:10:00 AM ,04/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,04/11/2022,12:00:00 PM ,04/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,04/11/2022,1:40:00 PM  ,04/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC4,04/11/2022,2:30:00 PM  ,04/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 3,07/11/2022,,07/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Chemistry  Ms J A Scarff  S2.03,07/11/2022,8:35:00 AM  ,07/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,07/11/2022,9:25:00 AM  ,07/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,07/11/2022,11:10:00 AM ,07/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,07/11/2022,12:00:00 PM ,07/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,07/11/2022,1:40:00 PM  ,07/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,07/11/2022,2:30:00 PM  ,07/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 4,08/11/2022,,08/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Italian  Mrs K L Irwin  L3.03,08/11/2022,8:35:00 AM  ,08/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,08/11/2022,9:25:00 AM  ,08/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,08/11/2022,11:10:00 AM ,08/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,08/11/2022,12:00:00 PM ,08/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,08/11/2022,1:40:00 PM  ,08/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D3,08/11/2022,2:30:00 PM  ,08/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 5,09/11/2022,,09/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Mathematics  Mr A Patel  40,09/11/2022,8:35:00 AM  ,09/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,09/11/2022,9:25:00 AM  ,09/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,09/11/2022,11:10:00 AM ,09/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,09/11/2022,12:00:00 PM ,09/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC3,09/11/2022,1:40:00 PM  ,09/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,09/11/2022,2:30:00 PM  ,09/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 6,10/11/2022,,10/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					English  Mr P C M Huybers  S1.04W,10/11/2022,8:35:00 AM  ,10/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,10/11/2022,9:25:00 AM  ,10/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  21,10/11/2022,11:10:00 AM ,10/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,10/11/2022,12:00:00 PM ,10/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,10/11/2022,1:40:00 PM  ,10/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,10/11/2022,2:30:00 PM  ,10/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 1,11/11/2022,,11/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Public Speaking and Sound Design  Ms O C Hopkins  D1,11/11/2022,8:35:00 AM  ,11/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,11/11/2022,9:25:00 AM  ,11/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,11/11/2022,11:10:00 AM ,11/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,11/11/2022,12:00:00 PM ,11/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,11/11/2022,1:40:00 PM  ,11/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,11/11/2022,2:30:00 PM  ,11/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 2,14/11/2022,,14/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Coding & Algorithms  Mr D J Brosche  16,14/11/2022,8:35:00 AM  ,14/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,14/11/2022,9:25:00 AM  ,14/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,14/11/2022,11:10:00 AM ,14/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,14/11/2022,12:00:00 PM ,14/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,14/11/2022,1:40:00 PM  ,14/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC4,14/11/2022,2:30:00 PM  ,14/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 3,15/11/2022,,15/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Chemistry  Ms J A Scarff  S2.03,15/11/2022,8:35:00 AM  ,15/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,15/11/2022,9:25:00 AM  ,15/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,15/11/2022,11:10:00 AM ,15/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,15/11/2022,12:00:00 PM ,15/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,15/11/2022,1:40:00 PM  ,15/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,15/11/2022,2:30:00 PM  ,15/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 4,16/11/2022,,16/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Italian  Mrs K L Irwin  L3.03,16/11/2022,8:35:00 AM  ,16/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,16/11/2022,9:25:00 AM  ,16/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,16/11/2022,11:10:00 AM ,16/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,16/11/2022,12:00:00 PM ,16/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,16/11/2022,1:40:00 PM  ,16/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D3,16/11/2022,2:30:00 PM  ,16/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 5,17/11/2022,,17/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Mathematics  Mr A Patel  40,17/11/2022,8:35:00 AM  ,17/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,17/11/2022,9:25:00 AM  ,17/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,17/11/2022,11:10:00 AM ,17/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,17/11/2022,12:00:00 PM ,17/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC3,17/11/2022,1:40:00 PM  ,17/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,17/11/2022,2:30:00 PM  ,17/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 6,18/11/2022,,18/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					English  Mr P C M Huybers  S1.04W,18/11/2022,8:35:00 AM  ,18/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,18/11/2022,9:25:00 AM  ,18/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  21,18/11/2022,11:10:00 AM ,18/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,18/11/2022,12:00:00 PM ,18/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,18/11/2022,1:40:00 PM  ,18/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,18/11/2022,2:30:00 PM  ,18/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 1,21/11/2022,,21/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Public Speaking and Sound Design  Ms O C Hopkins  D1,21/11/2022,8:35:00 AM  ,21/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,21/11/2022,9:25:00 AM  ,21/11/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,21/11/2022,11:10:00 AM ,21/11/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,21/11/2022,12:00:00 PM ,21/11/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,21/11/2022,1:40:00 PM  ,21/11/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,21/11/2022,2:30:00 PM  ,21/11/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 2,22/11/2022,,22/11/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Coding & Algorithms  Mr D J Brosche  16,22/11/2022,8:35:00 AM  ,22/11/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
